image,video,question,response
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/pipeline-cat-chonk.jpeg,https://huggingface.co/datasets/raushan-testing-hf/videos-test/resolve/main/sample_demo_1.mp4,The image is shown first and the video second. Do they show the same subject?,"No. The image shows a large fluffy cat, while the video shows a person in a short demo clip."
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/bee.jpg,https://test-videos.co.uk/vids/bigbuckbunny/mp4/h264/360/Big_Buck_Bunny_360_10s_1MB.mp4,"Describe the image, then say whether the video is live-action or animation.","The image is a macro photo of a bee on a pink flower. The video is computer-generated animation."
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/cat.png,https://huggingface.co/datasets/raushan-testing-hf/videos-test/resolve/main/sample_demo_1.mp4,Is the image a still photo or a moving clip? What about the video?,The image is a still photo of a cat. The video is a moving clip of a short demo.
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/bee.jpg,https://test-videos.co.uk/vids/bigbuckbunny/mp4/h264/360/Big_Buck_Bunny_360_10s_1MB.mp4,"What animal is in the image, and does the video feature the same animal?","The image shows a bee on a flower. The video is an animated short with a rabbit and other creatures, so it does not feature the same animal."
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/pipeline-cat-chonk.jpeg,https://test-videos.co.uk/vids/bigbuckbunny/mp4/h264/360/Big_Buck_Bunny_360_10s_1MB.mp4,"Count the number of animals visible in the image, then describe the setting of the video.","The image shows one large fluffy cat. The video is set in an outdoor animated forest environment."
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/cat.png,https://test-videos.co.uk/vids/bigbuckbunny/mp4/h264/360/Big_Buck_Bunny_360_10s_1MB.mp4,Compare the visual style of the image and the video.,"The image is a realistic photograph of a cat, whereas the video is stylized 3D computer animation."
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/bee.jpg,https://huggingface.co/datasets/raushan-testing-hf/videos-test/resolve/main/sample_demo_1.mp4,Is the subject of the image and the subject of the video indoors or outdoors?,"The image shows a bee on a flower outdoors. The video is a short demo clip filmed indoors."
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/beignets-task-guide.png,https://test-videos.co.uk/vids/jellyfish/mp4/h264/360/Jellyfish_360_10s_1MB.mp4,"Describe the food in the image, then say what kind of animal appears in the video.",The image shows a plate of powdered-sugar beignets next to a cup of black coffee on a cafe table. The video shows jellyfish drifting through the water.
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/coco_sample.png,https://test-videos.co.uk/vids/sintel/mp4/h264/360/Sintel_360_10s_1MB.mp4,"How many cats are in the image, and is the video real footage or animation?","There are two tabby cats lying on a pink couch in the image. The video is animation, a scene from an animated fantasy short."
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/transformers/tasks/idefics-few-shot.jpg,https://test-videos.co.uk/vids/bigbuckbunny/mp4/h264/720/Big_Buck_Bunny_720_10s_1MB.mp4,"What landmark is shown in the image, and describe the video.",The image shows the Statue of Liberty holding her torch against a grey sky. The video is a 3D-animated short set in a colorful outdoor forest.
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/coco_sample.png,https://test-videos.co.uk/vids/jellyfish/mp4/h264/360/Jellyfish_360_10s_1MB.mp4,Compare the setting of the image with the setting of the video.,"The image is indoors, with two cats resting on a couch. The video is underwater, showing jellyfish swimming in the ocean."
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/beignets-task-guide.png,https://test-videos.co.uk/vids/sintel/mp4/h264/360/Sintel_360_10s_1MB.mp4,Is the image a photograph or a drawing? What about the video?,"The image is a photograph of beignets and coffee at a cafe. The video is hand-crafted computer animation, not live footage."
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/transformers/tasks/idefics-few-shot.jpg,https://huggingface.co/datasets/raushan-testing-hf/videos-test/resolve/main/sample_demo_1.mp4,Name the main subject of the image and say whether the video is animated.,The main subject of the image is the Statue of Liberty. The video is not animated; it is a short live demo clip.
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/bee.jpg,https://test-videos.co.uk/vids/jellyfish/mp4/h264/360/Jellyfish_360_10s_1MB.mp4,"Both the image and the video show a living creature. What are they, and which one can fly?","The image shows a bee on a flower and the video shows jellyfish in water. The bee can fly, while the jellyfish swims and cannot fly."
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/pipeline-cat-chonk.jpeg,https://test-videos.co.uk/vids/sintel/mp4/h264/360/Sintel_360_10s_1MB.mp4,"Describe the animal in the image, then say what genre the video looks like.","The image shows a large, very fluffy cat. The video looks like a fantasy-adventure animated film."
