image_a,image_b,question
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/cat.png,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/cats.png,How many animals are in the first image versus the second image?
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/bee.jpg,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/beignets-task-guide.png,Describe what is shown in each image and say which one contains food.
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/pipeline-cat-chonk.jpeg,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/cat.png,Do both images show the same kind of animal? Compare them.
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/cats.png,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/coco_sample.png,Both images contain cats. Count the cats in each and describe what they are resting on.
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/bee.jpg,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/transformers/tasks/idefics-few-shot.jpg,One image shows a small living thing and the other a large man-made object. Which is which?
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/beignets-task-guide.png,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/cat.png,"Which image would make you hungry, and why? Describe both images."
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/pipeline-cat-chonk.jpeg,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/cats.png,Compare the fur and pose of the cat(s) in each image.
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/transformers/tasks/idefics-few-shot.jpg,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/coco_sample.png,Is either image taken indoors? Describe the location shown in each.
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/coco_sample.png,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/beignets-task-guide.png,List every object you can identify in each image.
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/cat.png,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/transformers/tasks/idefics-few-shot.jpg,Which image shows an animal and which shows a landmark? Name them.
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/bee.jpg,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/cats.png,"Which image has more animals in it, and what animals are they?"
