image_a,image_b,question,response
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/cat.png,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/cats.png,How many animals are in the first image versus the second image?,"The first image shows one animal, a single calico kitten. The second image shows two tabby cats. That is three cats in total: one in the first image and two in the second."
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/bee.jpg,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/beignets-task-guide.png,Describe what is shown in each image and say which one contains food.,The first image is a close-up of a bee resting on a pink flower. The second image shows a plate of powdered-sugar beignets next to a cup of black coffee on a cafe table. The second image contains food.
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/pipeline-cat-chonk.jpeg,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/cat.png,Do both images show the same kind of animal? Compare them.,"Yes, both images show cats. The first is a large, very fluffy cat, while the second is a small calico kitten lying in front of a gramophone. Both are cats, but they differ in size and coat length."
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/cats.png,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/coco_sample.png,Both images contain cats. Count the cats in each and describe what they are resting on.,Each image contains two cats. In the first image the two tabby cats are resting on a pile of fishing nets. In the second image the two cats are lying on a pink couch next to TV remote controls.
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/bee.jpg,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/transformers/tasks/idefics-few-shot.jpg,One image shows a small living thing and the other a large man-made object. Which is which?,The first image shows the small living thing: a bee on a flower. The second image shows the large man-made object: the Statue of Liberty.
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/beignets-task-guide.png,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/cat.png,"Which image would make you hungry, and why? Describe both images.",The first image would make you hungry because it shows food: a plate of powdered-sugar beignets with a cup of coffee. The second image shows a calico kitten resting in front of a gramophone and contains no food.
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/pipeline-cat-chonk.jpeg,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/cats.png,Compare the fur and pose of the cat(s) in each image.,"The first image shows a single cat with long, very fluffy fur, sitting upright. The second image shows two short-haired tabby cats curled up and lying down on fishing nets."
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/transformers/tasks/idefics-few-shot.jpg,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/coco_sample.png,Is either image taken indoors? Describe the location shown in each.,"The first image is outdoors, showing the Statue of Liberty against a grey sky. The second image is indoors, showing two cats resting on a pink couch."
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/coco_sample.png,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/beignets-task-guide.png,List the objects you can identify in each image.,"First image: two tabby cats, a pink couch, and two TV remote controls. Second image: a plate of powdered-sugar beignets, a cup of black coffee with a saucer, a sugar shaker, and glasses of water on a cafe table."
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/cat.png,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/transformers/tasks/idefics-few-shot.jpg,Which image shows an animal and which shows a landmark? Name them.,"The first image shows an animal, a calico kitten. The second image shows a landmark, the Statue of Liberty."
https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/bee.jpg,https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/cats.png,"Which image has more animals in it, and what animals are they?","The second image has more animals: two tabby cats. The first image has one animal, a bee."
